district_slug,crop_code,week_of_year,stage,risk_notes_en,risk_notes_ne
kailali,paddy,47,harvest,Harvest at 20–22% grain moisture; unseasonal October–November rain can cause sprouting in stacked paddy.,दाना २०–२२% चिस्यानमा कटानी गर्नुहोस्; कात्तिक–मंसिरको बेमौसमी वर्षाले थुपारेको धानमा टुसा उम्रन सक्छ।
kailali,paddy,48,harvest,Harvest at 20–22% grain moisture; unseasonal October–November rain can cause sprouting in stacked paddy.,दाना २०–२२% चिस्यानमा कटानी गर्नुहोस्; कात्तिक–मंसिरको बेमौसमी वर्षाले थुपारेको धानमा टुसा उम्रन सक्छ।
kailali,paddy,49,harvest,Harvest at 20–22% grain moisture; unseasonal October–November rain can cause sprouting in stacked paddy.,दाना २०–२२% चिस्यानमा कटानी गर्नुहोस्; कात्तिक–मंसिरको बेमौसमी वर्षाले थुपारेको धानमा टुसा उम्रन सक्छ।
kailali,paddy,50,post-harvest,"Dry, grade and store produce properly; hermetic bags reduce storage pest losses.","उपज राम्ररी सुकाएर, छानेर भण्डारण गर्नुहोस्; हावा नछिर्ने बोराले भण्डारण कीराको क्षति घटाउँछ।"
kailali,paddy,51,post-harvest,"Dry, grade and store produce properly; hermetic bags reduce storage pest losses.","उपज राम्ररी सुकाएर, छानेर भण्डारण गर्नुहोस्; हावा नछिर्ने बोराले भण्डारण कीराको क्षति घटाउँछ।"
kailali,paddy,52,post-harvest,"Dry, grade and store produce properly; hermetic bags reduce storage pest losses.","उपज राम्ररी सुकाएर, छानेर भण्डारण गर्नुहोस्; हावा नछिर्ने बोराले भण्डारण कीराको क्षति घटाउँछ।"
kailali,wheat,1,vegetative,Cold spells and fog are common; irrigate at crown-root initiation (~21 days after sowing).,शीतलहर र कुहिरो सामान्य हो; छरेको करिब २१ दिनपछि (मुख्य जरा बन्ने बेला) सिँचाइ गर्नुहोस्।
kailali,wheat,2,vegetative,Cold spells and fog are common; irrigate at crown-root initiation (~21 days after sowing).,शीतलहर र कुहिरो सामान्य हो; छरेको करिब २१ दिनपछि (मुख्य जरा बन्ने बेला) सिँचाइ गर्नुहोस्।
kailali,wheat,3,vegetative,Cold spells and fog are common; irrigate at crown-root initiation (~21 days after sowing).,शीतलहर र कुहिरो सामान्य हो; छरेको करिब २१ दिनपछि (मुख्य जरा बन्ने बेला) सिँचाइ गर्नुहोस्।
kailali,wheat,4,vegetative,Cold spells and fog are common; irrigate at crown-root initiation (~21 days after sowing).,शीतलहर र कुहिरो सामान्य हो; छरेको करिब २१ दिनपछि (मुख्य जरा बन्ने बेला) सिँचाइ गर्नुहोस्।
kailali,wheat,5,vegetative,Cold spells and fog are common; irrigate at crown-root initiation (~21 days after sowing).,शीतलहर र कुहिरो सामान्य हो; छरेको करिब २१ दिनपछि (मुख्य जरा बन्ने बेला) सिँचाइ गर्नुहोस्।
kailali,wheat,6,vegetative,Cold spells and fog are common; irrigate at crown-root initiation (~21 days after sowing).,शीतलहर र कुहिरो सामान्य हो; छरेको करिब २१ दिनपछि (मुख्य जरा बन्ने बेला) सिँचाइ गर्नुहोस्।
kailali,wheat,7,flowering,Watch for yellow rust after prolonged cool-humid weather; ensure irrigation at booting–heading.,लामो चिसो-ओसिलो मौसमपछि पहेँलो सिन्दुरे रोगको निगरानी गर्नुहोस्; बाला निस्कने बेला सिँचाइ सुनिश्चित गर्नुहोस्।
kailali,wheat,8,flowering,Watch for yellow rust after prolonged cool-humid weather; ensure irrigation at booting–heading.,लामो चिसो-ओसिलो मौसमपछि पहेँलो सिन्दुरे रोगको निगरानी गर्नुहोस्; बाला निस्कने बेला सिँचाइ सुनिश्चित गर्नुहोस्।
kailali,wheat,9,flowering,Watch for yellow rust after prolonged cool-humid weather; ensure irrigation at booting–heading.,लामो चिसो-ओसिलो मौसमपछि पहेँलो सिन्दुरे रोगको निगरानी गर्नुहोस्; बाला निस्कने बेला सिँचाइ सुनिश्चित गर्नुहोस्।
kailali,wheat,10,flowering,Watch for yellow rust after prolonged cool-humid weather; ensure irrigation at booting–heading.,लामो चिसो-ओसिलो मौसमपछि पहेँलो सिन्दुरे रोगको निगरानी गर्नुहोस्; बाला निस्कने बेला सिँचाइ सुनिश्चित गर्नुहोस्।
kailali,wheat,11,grain-fill,Rising March temperatures can force early maturity; terminal heat is the main yield risk in the Terai.,चैतको बढ्दो तापक्रमले बाली छिटो पाक्न सक्छ; अन्तिम चरणको गर्मी तराईमा उत्पादनको मुख्य जोखिम हो।
kailali,wheat,12,grain-fill,Rising March temperatures can force early maturity; terminal heat is the main yield risk in the Terai.,चैतको बढ्दो तापक्रमले बाली छिटो पाक्न सक्छ; अन्तिम चरणको गर्मी तराईमा उत्पादनको मुख्य जोखिम हो।
kailali,wheat,13,grain-fill,Rising March temperatures can force early maturity; terminal heat is the main yield risk in the Terai.,चैतको बढ्दो तापक्रमले बाली छिटो पाक्न सक्छ; अन्तिम चरणको गर्मी तराईमा उत्पादनको मुख्य जोखिम हो।
kailali,wheat,14,harvest,Harvest before pre-monsoon thunderstorms (Chaitra); hailstorm risk peaks in late March–April.,मनसुनअघिको हावाहुरी (चैत) अघि कटानी गर्नुहोस्; चैत–वैशाखमा असिनाको जोखिम बढी हुन्छ।
kailali,wheat,15,harvest,Harvest before pre-monsoon thunderstorms (Chaitra); hailstorm risk peaks in late March–April.,मनसुनअघिको हावाहुरी (चैत) अघि कटानी गर्नुहोस्; चैत–वैशाखमा असिनाको जोखिम बढी हुन्छ।
kailali,wheat,16,harvest,Harvest before pre-monsoon thunderstorms (Chaitra); hailstorm risk peaks in late March–April.,मनसुनअघिको हावाहुरी (चैत) अघि कटानी गर्नुहोस्; चैत–वैशाखमा असिनाको जोखिम बढी हुन्छ।
kailali,wheat,17,harvest,Harvest before pre-monsoon thunderstorms (Chaitra); hailstorm risk peaks in late March–April.,मनसुनअघिको हावाहुरी (चैत) अघि कटानी गर्नुहोस्; चैत–वैशाखमा असिनाको जोखिम बढी हुन्छ।
kailali,wheat,18,post-harvest,"Dry, grade and store produce properly; hermetic bags reduce storage pest losses.","उपज राम्ररी सुकाएर, छानेर भण्डारण गर्नुहोस्; हावा नछिर्ने बोराले भण्डारण कीराको क्षति घटाउँछ।"
kailali,wheat,19,post-harvest,"Dry, grade and store produce properly; hermetic bags reduce storage pest losses.","उपज राम्ररी सुकाएर, छानेर भण्डारण गर्नुहोस्; हावा नछिर्ने बोराले भण्डारण कीराको क्षति घटाउँछ।"
kailali,wheat,20,post-harvest,"Dry, grade and store produce properly; hermetic bags reduce storage pest losses.","उपज राम्ररी सुकाएर, छानेर भण्डारण गर्नुहोस्; हावा नछिर्ने बोराले भण्डारण कीराको क्षति घटाउँछ।"
kailali,wheat,21,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,wheat,22,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,wheat,23,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,wheat,24,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,wheat,25,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,wheat,26,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,wheat,27,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,wheat,28,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,wheat,29,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,wheat,30,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,wheat,31,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,wheat,32,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,wheat,33,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,wheat,34,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,wheat,35,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,wheat,36,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,wheat,37,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,wheat,38,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,wheat,39,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,wheat,40,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,wheat,41,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,wheat,42,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,wheat,43,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,wheat,44,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,wheat,45,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,wheat,46,land-prep,Prepare fields immediately after paddy harvest; residual moisture reduces first-irrigation need.,धान कटानीलगत्तै खेत तयार गर्नुहोस्; बाँकी चिस्यानले पहिलो सिँचाइको आवश्यकता घटाउँछ।
kailali,wheat,47,land-prep,Prepare fields immediately after paddy harvest; residual moisture reduces first-irrigation need.,धान कटानीलगत्तै खेत तयार गर्नुहोस्; बाँकी चिस्यानले पहिलो सिँचाइको आवश्यकता घटाउँछ।
kailali,wheat,48,sowing,Sow by early December — every week's delay after Mangsir cuts yield; use seed drill where available.,मंसिरको सुरुसम्ममा छर्नुहोस् — त्यसपछिको हरेक हप्ताको ढिलाइले उत्पादन घट्छ; सम्भव भए सिड ड्रिल प्रयोग गर्नुहोस्।
kailali,wheat,49,sowing,Sow by early December — every week's delay after Mangsir cuts yield; use seed drill where available.,मंसिरको सुरुसम्ममा छर्नुहोस् — त्यसपछिको हरेक हप्ताको ढिलाइले उत्पादन घट्छ; सम्भव भए सिड ड्रिल प्रयोग गर्नुहोस्।
kailali,wheat,50,sowing,Sow by early December — every week's delay after Mangsir cuts yield; use seed drill where available.,मंसिरको सुरुसम्ममा छर्नुहोस् — त्यसपछिको हरेक हप्ताको ढिलाइले उत्पादन घट्छ; सम्भव भए सिड ड्रिल प्रयोग गर्नुहोस्।
kailali,wheat,51,sowing,Sow by early December — every week's delay after Mangsir cuts yield; use seed drill where available.,मंसिरको सुरुसम्ममा छर्नुहोस् — त्यसपछिको हरेक हप्ताको ढिलाइले उत्पादन घट्छ; सम्भव भए सिड ड्रिल प्रयोग गर्नुहोस्।
kailali,wheat,52,vegetative,Cold spells and fog are common; irrigate at crown-root initiation (~21 days after sowing).,शीतलहर र कुहिरो सामान्य हो; छरेको करिब २१ दिनपछि (मुख्य जरा बन्ने बेला) सिँचाइ गर्नुहोस्।
kailali,maize,1,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,maize,2,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,maize,3,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,maize,4,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,maize,5,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,maize,6,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,maize,7,fallow,"Field resting period — good time for green manuring, soil testing and bund repair.","खेत बाँझो रहने समय — हरियो मल, माटो परीक्षण र आली मर्मतका लागि उपयुक्त समय।"
kailali,maize,8,land-prep,Ensure good tilth for spring maize; residual winter moisture helps germination.,वसन्ते मकैका लागि माटो राम्रोसँग बुझाउनुहोस्; हिउँदे चिस्यानले उमारमा मद्दत गर्छ।
kailali,maize,9,land-prep,Ensure good tilth for spring maize; residual winter moisture helps germination.,वसन्ते मकैका लागि माटो राम्रोसँग बुझाउनुहोस्; हिउँदे चिस्यानले उमारमा मद्दत गर्छ।
kailali,maize,10,sowing,Sow when soil temperature is rising (Feb–Mar); protect seed from birds and cutworms.,माटोको तापक्रम बढ्दै गर्दा (फागुन–चैत) छर्नुहोस्; चरा र फेदकटुवा कीराबाट बीउ जोगाउनुहोस्।
kailali,maize,11,sowing,Sow when soil temperature is rising (Feb–Mar); protect seed from birds and cutworms.,माटोको तापक्रम बढ्दै गर्दा (फागुन–चैत) छर्नुहोस्; चरा र फेदकटुवा कीराबाट बीउ जोगाउनुहोस्।
kailali,maize,12,sowing,Sow when soil temperature is rising (Feb–Mar); protect seed from birds and cutworms.,माटोको तापक्रम बढ्दै गर्दा (फागुन–चैत) छर्नुहोस्; चरा र फेदकटुवा कीराबाट बीउ जोगाउनुहोस्।
kailali,maize,13,sowing,Sow when soil temperature is rising (Feb–Mar); protect seed from birds and cutworms.,माटोको तापक्रम बढ्दै गर्दा (फागुन–चैत) छर्नुहोस्; चरा र फेदकटुवा कीराबाट बीउ जोगाउनुहोस्।
kailali,maize,14,vegetative,Pre-monsoon dry spells: irrigate at knee-high stage; fall armyworm scouting every week.,मनसुनअघिको खडेरी: घुँडा उचाइमा सिँचाइ गर्नुहोस्; अमेरिकी फौजी कीराको साप्ताहिक निगरानी गर्नुहोस्।
kailali,maize,15,vegetative,Pre-monsoon dry spells: irrigate at knee-high stage; fall armyworm scouting every week.,मनसुनअघिको खडेरी: घुँडा उचाइमा सिँचाइ गर्नुहोस्; अमेरिकी फौजी कीराको साप्ताहिक निगरानी गर्नुहोस्।
kailali,maize,16,vegetative,Pre-monsoon dry spells: irrigate at knee-high stage; fall armyworm scouting every week.,मनसुनअघिको खडेरी: घुँडा उचाइमा सिँचाइ गर्नुहोस्; अमेरिकी फौजी कीराको साप्ताहिक निगरानी गर्नुहोस्।
kailali,maize,17,vegetative,Pre-monsoon dry spells: irrigate at knee-high stage; fall armyworm scouting every week.,मनसुनअघिको खडेरी: घुँडा उचाइमा सिँचाइ गर्नुहोस्; अमेरिकी फौजी कीराको साप्ताहिक निगरानी गर्नुहोस्।
kailali,maize,18,vegetative,Pre-monsoon dry spells: irrigate at knee-high stage; fall armyworm scouting every week.,मनसुनअघिको खडेरी: घुँडा उचाइमा सिँचाइ गर्नुहोस्; अमेरिकी फौजी कीराको साप्ताहिक निगरानी गर्नुहोस्।
kailali,maize,19,vegetative,Pre-monsoon dry spells: irrigate at knee-high stage; fall armyworm scouting every week.,मनसुनअघिको खडेरी: घुँडा उचाइमा सिँचाइ गर्नुहोस्; अमेरिकी फौजी कीराको साप्ताहिक निगरानी गर्नुहोस्।
